....................
KOD,SIMPLE_NAM
081120,"МАЛИНА, ТУТОВАЯ ЯГОДА (ШЕЛКОВИЦА), ЕЖЕВИКА, ЛОГАНОВА ЯГОДА, СМОРОДИНА И  КРЫЖОВНИК (СВЕЖИЕ ИЛИ ВАРЕНЫЕ В ВОДЕ ИЛИ НА ПАРУ), МОРОЖЕНЫЕ, С  СОДЕРЖАННИЕМ САХАРА ИЛИ БЕЗ НЕГО"
08112011,"МАЛИНА, ЕЖЕВИКА, СМОРОДИНА ЧЕРНАЯ, БЕЛАЯ ИЛИ КРАСНАЯ, КРЫЖОВНИК, ТУТОВАЯ ЯГОДА (ШЕЛКОВИЦА), ЛОГАНОВА ЯГОДА, ПОДВЕРГНУТЫЕ ИЛИ НЕПОД. ТЕПЛОВОЙ ОБР. В ВОДЕ ИЛИ НА ПАРУ, МОРОЖ., С ДОБАВ.САХАРА БОЛЕЕ 13 %"
0811201100,"МАЛИНА, ЕЖЕВИКА, СМОРОДИНА ЧЕРНАЯ, БЕЛАЯ ИЛИ КРАСНАЯ, КРЫЖОВНИК, ТУТОВАЯ ЯГОДА (ШЕЛКОВИЦА), ЛОГАНОВА ЯГОДА, ПОДВЕРГНУТЫЕ ИЛИ НЕПОД. ТЕПЛОВОЙ ОБР. В ВОДЕ ИЛИ НА ПАРУ, МОРОЖ., С ДОБАВ.САХАРА БОЛЕЕ 13 %"
08112019,"ПРОЧИЕ МАЛИНА, ЕЖЕВИКА, СМОРОДИНА, ШЕЛКОВИЦА И КРЫЖОВНИК (МОРОЖЕННАЯ,  ПОДВЕРГНУТАЯ ИЛИ НЕПОДВЕРГН. ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ) С  ДОБАВЛЕНИЕМ САХАРА ИЛИ ДР.ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811201900,"ПРОЧИЕ МАЛИНА, ЕЖЕВИКА, СМОРОДИНА, ШЕЛКОВИЦА И КРЫЖОВНИК (МОРОЖЕННАЯ,  ПОДВЕРГНУТАЯ ИЛИ НЕПОДВЕРГН. ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ) С  ДОБАВЛЕНИЕМ САХАРА ИЛИ ДР.ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08112031,"ПРОЧАЯ МАЛИНА, ПОДВЕРГНУТАЯ ИЛИ НЕ ПОДВЕРГНУТАЯ ТЕПЛОВОЙ  ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ  ДОБАВЛЕНИЯСАХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811203100,"ПРОЧАЯ МАЛИНА, ПОДВЕРГНУТАЯ ИЛИ НЕ ПОДВЕРГНУТАЯ ТЕПЛОВОЙ  ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ  ДОБАВЛЕНИЯСАХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08112039,"ПРОЧАЯ ЧЕРНАЯ СМОРОДИНА СВЕЖАЯ ИЛИ ПОДВЕРГНУТАЯ ИЛИ НЕ ПОДВЕРГНУТАЯ   ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ   ДОБАВЛЕНИЯ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811203900,"ПРОЧАЯ ЧЕРНАЯ СМОРОДИНА СВЕЖАЯ ИЛИ ПОДВЕРГНУТАЯ ИЛИ НЕ ПОДВЕРГНУТАЯ   ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ   ДОБАВЛЕНИЯ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08112051,"ПРОЧАЯ КРАСНАЯ СМОРОДИНА СВЕЖАЯ ИДИ ПОДВЕРГНУТАЯ НЕ ПОДВЕРГНУТАЯ  ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ  ДОБАВЛЕНИЯ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811205100,"ПРОЧАЯ КРАСНАЯ СМОРОДИНА СВЕЖАЯ ИДИ ПОДВЕРГНУТАЯ НЕ ПОДВЕРГНУТАЯ  ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ; МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ  ДОБАВЛЕНИЯ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08112059,"ПРОЧАЯ ЕЖЕВИКА И ТУТОВАЯ ЯГОДА (ШЕЛКОВИЦА) СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИНЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811205900,"ПРОЧАЯ ЕЖЕВИКА И ТУТОВАЯ ЯГОДА (ШЕЛКОВИЦА) СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИНЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
08112090,"ПР.МАЛИНА,ТУТОВАЯ ЯГОДА(ШЕЛКОВИЦА),ЕЖЕВИКА,ЛОГАНОВАЯ ЯГОДА,СМОРОДИНА ЧЕРН.,БЕЛ.,КРАСН.И КРЫЖ.СВЕЖ.ИЛИ ПОДВЕРГ.ТЕПЛ.ОБРАБОТ.В ВОДЕ ИЛИ НА ПАРУ,МОРОЖ.,С ДОБАВ.ИЛИ БЕЗ ДОБАВ.САХАРА ИЛИ ДР.ПОДСЛАЩ.ВЕЩ-В"
0811209000,"ПР.МАЛИНА,ТУТОВАЯ ЯГОДА(ШЕЛКОВИЦА),ЕЖЕВИКА,ЛОГАНОВАЯ ЯГОДА,СМОРОДИНА ЧЕРН.,БЕЛ.,КРАСН.И КРЫЖ.СВЕЖ.ИЛИ ПОДВЕРГ.ТЕПЛ.ОБРАБОТ.В ВОДЕ ИЛИ НА ПАРУ,МОРОЖ.,С ДОБАВ.ИЛИ БЕЗ ДОБАВ.САХАРА ИЛИ ДР.ПОДСЛАЩ.ВЕЩ-В"
081190,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ, ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕВ ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08119011,"ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБОВЛЕН. САХАРА ИЛИ  ДР.ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, С СОДЕРЖ. САХАРА БОЛЕЕ 13 МАС.%"
0811901100,"ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБОВЛЕН. САХАРА ИЛИ  ДР.ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, С СОДЕРЖ. САХАРА БОЛЕЕ 13 МАС.%"
0811901101,"КОКОСОВЫЕ ОРЕХИ, С СОДЕРЖ. САХАРА БОЛЕЕ 13 МАС.%"
0811901109,"ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБОВЛЕН. САХАРА ИЛИ  ДР.ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ, С СОДЕРЖ. САХАРА БОЛЕЕ 13 МАС.%"
08119019,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДРЕГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811901900,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДРЕГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08119031,ПРОЧИЕ ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБАВЛЕНИЕМ САХАРА  ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ
0811903100,ПРОЧИЕ ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБАВЛЕНИЕМ САХАРА  ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ
0811903101,КОКОСОВЫЕ ОРЕХИ   С ДОБАВЛЕНИЕМ САХАРА  ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ
0811903109,ПРОЧИЕ ТРОПИЧЕСКИЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ ПРОЧИЕ С ДОБАВЛЕНИЕМ САХАРА  ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ
08119039,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811903900,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
08119050,"ПРОЧИЕ ПЛОДЫ РАСТЕНИЙ ВИДАМ VACCINIUM MYRTILLUS, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГЕУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВ. ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811905000,"ПРОЧИЕ ПЛОДЫ РАСТЕНИЙ ВИДАМ VACCINIUM MYRTILLUS, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГЕУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВ. ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
08119070,"ПР.ПЛОДЫ РАСТЕНИЙ ВИДА VACCINIUM MYRTILLOIDES И VACCINIUM ANGUSTIFOLIUM,СВЕЖ.ИЛИ ПОДВЕРГНУТ.ИЛИ НЕ ПОДВЕРГНУТ.ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НАПАРУ,МОРОЖ.С ДОБАВ.ИЛИ БЕЗ ДОБАВ.САХАРА ИЛИ ДР.ПОДСЛАЩ.ВЕЩ-В"
0811907000,"ПР.ПЛОДЫ РАСТЕНИЙ ВИДА VACCINIUM MYRTILLOIDES И VACCINIUM ANGUSTIFOLIUM,СВЕЖ.ИЛИ ПОДВЕРГНУТ.ИЛИ НЕ ПОДВЕРГНУТ.ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НАПАРУ,МОРОЖ.С ДОБАВ.ИЛИ БЕЗ ДОБАВ.САХАРА ИЛИ ДР.ПОДСЛАЩ.ВЕЩ-В"
08119075,"ПРОЧ.КИСЛАЯ ВИШНЯ (PRUNUS CERASUS),СВЕЖАЯ ИЛИ ПОДВЕРГНУТ.ИЛИ НЕ ПОДВЕРГНУТ.ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИБЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811907500,"ПРОЧ.КИСЛАЯ ВИШНЯ (PRUNUS CERASUS),СВЕЖАЯ ИЛИ ПОДВЕРГНУТ.ИЛИ НЕ ПОДВЕРГНУТ.ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНАЯ, С ДОБАВЛЕНИЕМ ИЛИБЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
08119080,"ПРОЧИЕ ВИШНЯ И ЧЕРЕШНЯ, СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНИЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811908000,"ПРОЧИЕ ВИШНЯ И ЧЕРЕШНЯ, СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ.ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНИЕ, С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
08119085,"ПРОЧИЕ ТРОПИЧЕСИКЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ, СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ. ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811908500,"ПРОЧИЕ ТРОПИЧЕСИКЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ, СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ. ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811908501,"КОКОСОВЫЕ ОРЕХИ , СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ. ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
0811908509,"ПРОЧИЕ ТРОПИЧЕСИКЕ ПЛОДЫ И ТРОПИЧЕСКИЕ ОРЕХИ, СВЕЖИЕ, ПОДВЕРГНУТ. ИЛИ НЕ ПОДВЕРГНУТ. ТЕПЛОВ. ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДР. ПОДСЛАЩ. ВЕЩ-В"
08119095,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0811909500,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ, СВЕЖИЕ ИЛИ ПОДВЕРГНУТЫЕ ИЛИ НЕ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ В ВОДЕ ИЛИ НА ПАРУ, МОРОЖЕНЫЕ, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
0812,"ФРУКТЫ И ОРЕХИ, КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ (НАПРИМЕР, ДИОКСИДОМ СЕРЫ, В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ ИЛИ В ДРУГОМ ВРЕМЕННО КОНСЕРВИРУЮЩЕМ РАСТВОРЕ), НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В ПИЩУ"
081210,"ВИШНЯ И ЧЕРЕШНЯ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ , НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В  ПИЩУ"
08121000,"ВИШНЯ И ЧЕРЕШНЯ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ , НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В  ПИЩУ"
0812100000,"ВИШНЯ И ЧЕРЕШНЯ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ , НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В  ПИЩУ"
081290,"ПРОЧИЕ ПЛОДЫ И ОРЕХИ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ (ВО  ВРЕМЕННО КОНСЕРВИРУЮЩЕМ РАСТВОРЕ), НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ  НЕПОСРЕДСТВЕННОГО УПОТРЕБЛЕНИЯ В ПИЩУ"
08129010,"ПРОЧИЕ АБРИКОСЫ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
0812901000,"ПРОЧИЕ АБРИКОСЫ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
08129020,"ПРОЧИЕ АПЕЛЬСИНЫ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
0812902000,"ПРОЧИЕ АПЕЛЬСИНЫ КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
08129030,"ПРОЧАЯ ПАПАЙЯ КОНСЕРВИРОВАННАЯ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
0812903000,"ПРОЧАЯ ПАПАЙЯ КОНСЕРВИРОВАННАЯ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В  ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
08129040,"ПРОЧИЕ ПЛОДЫ РАСТЕНИЙ ВИДА VACCINIUM MYRTILLUS КОНСЕРВИРОВАННЫЕ ДЛЯ  КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ  В ПИЩУ"
0812904000,"ПРОЧИЕ ПЛОДЫ РАСТЕНИЙ ВИДА VACCINIUM MYRTILLUS КОНСЕРВИРОВАННЫЕ ДЛЯ  КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В ТАКОМ ВИДЕ НЕПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ  В ПИЩУ"
08129070,"ПРОЧИЕ ГУАЙЯВА, МАНГО, МАНГОСТАН, ТАМАРИНД, АНАКАРДИЯ, ЛИЧИ,  ДЖЕКФРУТ,САПОДИЛЛА, ПАССИФЛОРА, КАРАМБОЛА, ПИТАЙЯ И ТРОПИЧЕСКИЕ ОРЕХИ,  КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В ТАКОМ ВИДЕ  Н"
0812907000,"ПРОЧИЕ ГУАЙЯВА, МАНГО, МАНГОСТАН, ТАМАРИНД, АНАКАРДИЯ, ЛИЧИ,  ДЖЕКФРУТ,САПОДИЛЛА, ПАССИФЛОРА, КАРАМБОЛА, ПИТАЙЯ И ТРОПИЧЕСКИЕ ОРЕХИ,  КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМЕННОГО ХРАНЕНИЯ, НО В ТАКОМ ВИДЕ  Н"
08129098,"ПРОЧИЕ ФРУКТЫ И ОРЕХИ, КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМ. ХРАНЕНИЯ (НАПРИМЕР, ДИОКСИДОМ СЕРЫ, В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ ИЛИ В ДРУГОМ ВРЕМЕННО КОНСЕРВ.РАСТВОРЕ),НО В ТАКОМ ВИДЕ НЕПРИГ.ДЛЯ УПОТР.В ПИЩУ"
0812909800,"ПРОЧИЕ ФРУКТЫ И ОРЕХИ, КОНСЕРВИРОВАННЫЕ ДЛЯ КРАТКОВРЕМ. ХРАНЕНИЯ (НАПРИМЕР, ДИОКСИДОМ СЕРЫ, В РАССОЛЕ, СЕРНИСТОЙ ВОДЕ ИЛИ В ДРУГОМ ВРЕМЕННО КОНСЕРВ.РАСТВОРЕ),НО В ТАКОМ ВИДЕ НЕПРИГ.ДЛЯ УПОТР.В ПИЩУ"
0813,"ФРУКТЫ СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801 - 0806; СМЕСИ ОРЕХОВ ИЛИ СУШЕНЫХ ПЛОДОВ ДАННОЙ ГРУППЫ"
081310,АБРИКОСЫ СУШЕНЫЕ
08131000,АБРИКОСЫ СУШЕНЫЕ
0813100000,АБРИКОСЫ СУШЕНЫЕ
081320,ЧЕРНОСЛИВ СУШЕНЫЙ
08132000,ЧЕРНОСЛИВ СУШЕНЫЙ
0813200000,ЧЕРНОСЛИВ СУШЕНЫЙ
081330,ЯБЛОКИ СУШЕНЫЕ
08133000,ЯБЛОКИ СУШЕНЫЕ
0813300000,ЯБЛОКИ СУШЕНЫЕ
081340,"ПРОЧИЕ ПЛОДЫ СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801-0806"
08134010,"ПЕРСИКИ СУШЕНЫЕ, ВКЛЮЧАЯ НЕКТАРИНЫ"
0813401000,"ПЕРСИКИ СУШЕНЫЕ, ВКЛЮЧАЯ НЕКТАРИНЫ"
08134030,ГРУШИ СУШЕНЫЕ
0813403000,ГРУШИ СУШЕНЫЕ
08134050,ПАПАЙЯ СУШЕНАЯ
0813405000,ПАПАЙЯ СУШЕНАЯ
08134065,"ТАМАРИНД, АНАКАРДИЯ, ИЛИ АКАЖУ, ЛИЧИ, ДЖЕКФPУТ, ИЛИ ПЛОД ХЛЕБНОГО ДЕРЕВА, САПОДИЛЛА, ПАССИФЛОРА, ИЛИ СТРАСТОЦВЕТ, КАРАМБОЛА  И ПИТАЙЯ, СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801 - 0806"
0813406500,"ТАМАРИНД, АНАКАРДИЯ, ИЛИ АКАЖУ, ЛИЧИ, ДЖЕКФPУТ, ИЛИ ПЛОД ХЛЕБНОГО ДЕРЕВА, САПОДИЛЛА, ПАССИФЛОРА, ИЛИ СТРАСТОЦВЕТ, КАРАМБОЛА  И ПИТАЙЯ, СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801 - 0806"
08134095,"ПРОЧИЕ ПЛОДЫ СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801-0806"
0813409500,"ПРОЧИЕ ПЛОДЫ СУШЕНЫЕ, КРОМЕ ПЛОДОВ ТОВАРНЫХ ПОЗИЦИЙ 0801-0806"
081350,"СМЕСИ ОРЕХОВ ИЛИ СУШЕНЫХ ПЛОДОВ, КЛАССИФИЦИРУЕМЫХ В ДАННОЙ ГРУППЕ"
