....................
KOD,SIMPLE_NAM
01022971,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ, УБОЙНЫЕ"
0102297100,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ, УБОЙНЫЕ"
01022979,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ, ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
0102297900,"ПРОЧИЙ ДОМАШНИЙ КРУПНЫЙ РОГАТЫЙ СКОТ, ЖИВОЙ, МАССОЙ БОЛЕЕ 300 КГ: ПРОЧИЕ"
010231,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
01023100,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
0102310000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ, ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ"
010239,БУЙВОЛЫ ПРОЧИЕ
01023910,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: БУЙВОЛЫ, ПРОЧИЕ ДОМАШНИЕ ВИДЫ"
0102391000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: БУЙВОЛЫ, ПРОЧИЕ ДОМАШНИЕ ВИДЫ"
01023990,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ: ПРОЧИЕ"
0102399000,"КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ, БУЙВОЛЫ: ПРОЧИЕ"
010290,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ
01029020,ПРОЧИЕ ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ ЖИВОГО КРУПНОГО РОГАТОГО  СКОТА
0102902000,ПРОЧИЕ ЧИСТОПОРОДНЫЕ ПЛЕМЕННЫЕ ЖИВОТНЫЕ ЖИВОГО КРУПНОГО РОГАТОГО  СКОТА
01029091,ПРОЧИЕ ДОМАШНИЕ ВИДЫ ПРОЧЕГО ЖИВОГО КРУПНОГО РОГАТОГО СКОТА
0102909100,ПРОЧИЕ ДОМАШНИЕ ВИДЫ ПРОЧЕГО ЖИВОГО КРУПНОГО РОГАТОГО СКОТА
01029099,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПРОЧИЕ
0102909900,ПРОЧИЙ КРУПНЫЙ РОГАТЫЙ СКОТ ЖИВОЙ: ПРОЧИЕ
0103,СВИНЬИ ЖИВЫЕ
010310,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
01031000,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
0103100000,СВИНЬИ ЖИВЫЕ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ
010391,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
01039110,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ ЖИВЫХ, МАССОЙ МЕНЕЕ 50 КГ"
0103911000,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ ЖИВЫХ, МАССОЙ МЕНЕЕ 50 КГ"
01039190,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
0103919000,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ МЕНЕЕ 50 КГ"
010392,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
01039211,"СВИНОМАТКИ МАССОЙ НЕ МЕНЕЕ 160 КГ, ИМЕВШИЕ ПО КРАЙНЕЙ МЕРЕ ОДИН ОПОРОС"
0103921100,"СВИНОМАТКИ МАССОЙ НЕ МЕНЕЕ 160 КГ, ИМЕВШИЕ ПО КРАЙНЕЙ МЕРЕ ОДИН ОПОРОС"
01039219,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ, ИМЕЮЩИЕ МАССУ 50 КГ ИЛИ БОЛЕЕ"
0103921900,"ПРОЧИЕ ДОМАШНИЕ ВИДЫ СВИНЕЙ, ИМЕЮЩИЕ МАССУ 50 КГ ИЛИ БОЛЕЕ"
01039290,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
0103929000,"ПРОЧИЕ СВИНЬИ ЖИВЫЕ, МАССОЙ 50 КГ ИЛИ БОЛЕЕ"
0104,ОВЦЫ И КОЗЫ ЖИВЫЕ
010410,ОВЦЫ ЖИВЫЕ
01041010,"ОВЦЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
